Word,Time_s,F0_Hz,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,1.078274,271.698586,,,,,,
your,1.083446,261.616605,,,,,,
your,1.088619,263.707725,,,,,,
your,1.093791,256.287742,,,,,,
your,1.098964,244.946541,,,,,,
your,1.104136,220.911010,,,,,,
your,1.109308,204.873005,,,,,,
your,1.114481,215.076436,,,,,,
your,1.119653,213.347899,,,,,,
your,1.124826,211.466171,,,,,,
your,1.129998,210.670136,,,,,,
your,1.135170,210.514025,,,,,,
your,1.140343,210.131599,,,,,,
your,1.145515,210.374994,,,,,,
your,1.150688,211.910589,,,,,,
your,1.155860,213.446955,,,,,,
your,1.161033,214.454162,,,,,,
your,1.166205,215.843092,,,,,,
your,1.171377,217.224683,,,,,,
your,1.176550,218.329488,,,,,,
your,1.181722,218.536705,,,,,,
your,1.186895,218.724508,,,,,,
your,1.192067,218.711146,,,,,,
your,1.197239,218.687604,,,,,,
your,1.202412,218.091347,,,,,,
your,1.207584,216.910695,,,,,,
your,1.212757,216.048696,,,,,,
your,1.217929,215.336297,,,,,,
your,1.223101,215.671358,,,,,,
your,1.228274,214.196672,,,,,,
your,1.233446,213.484407,,,,,,
your,1.238619,212.851059,,,,,,
your,1.243791,211.628539,,,,,,
your,1.248964,210.829333,,,,,,
your,1.254136,209.878656,,,,,,
your,1.259308,210.080989,,,,,,
your,1.264481,210.443628,,,,,,
your,1.269653,210.997705,,,,,,
your,1.274826,211.434894,,,,,,
your,1.279998,211.083594,,,,,,
your,1.285170,211.251187,,,,,,
your,1.290343,211.206902,,,,,,
your,1.295515,211.626861,,,,,,
your,1.300688,211.509035,,,,,,
your,1.305860,211.364642,,,,,,
your,1.311033,210.983976,,,,,,
your,1.316205,210.491651,,,,,,
your,1.321377,209.322699,,,,,,
your,1.326550,207.786199,,,,,,
your,1.331722,207.181773,,,,,,
your,1.336895,206.800256,,,,,,
your,1.342067,205.938881,,,,,,
your,1.347239,204.912173,,,,,,
your,1.352412,202.984089,,,,,,
your,1.357584,200.952746,,,,,,
your,1.362757,199.472479,,,,,,
your,1.367929,202.255828,,,,,,
your,1.373101,206.169537,,,,,,
your,1.378274,206.748109,,,,,,
your,1.383446,205.899760,,,,,,
your,1.388619,205.664695,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,1.476550,265.594126,,,,,,
good,1.481722,261.741909,,,,,,
good,1.486895,264.095852,,,,,,
good,1.492067,267.515507,,,,,,
good,1.497239,271.006103,,,,,,
good,1.502412,274.140494,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,1.523101,145.486858,,,,,,
good,1.528274,147.559495,,,,,,
good,1.533446,149.235485,,,,,,
good,1.538619,150.192099,,,,,,
good,1.543791,150.064085,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,1.812757,228.267150,,,,,,
pants,1.817929,227.957943,,,,,,
pants,1.823101,227.475143,,,,,,
pants,1.828274,228.611562,,,,,,
pants,1.833446,225.072607,,,,,,
pants,1.838619,222.128198,,,,,,
pants,1.843791,218.131946,,,,,,
pants,1.848964,214.721834,,,,,,
pants,1.854136,211.053799,,,,,,
pants,1.859308,208.098560,,,,,,
pants,1.864481,205.680185,,,,,,
pants,1.869653,204.026808,,,,,,
pants,1.874826,201.850740,,,,,,
pants,1.879998,201.199401,,,,,,
pants,1.885170,200.838802,,,,,,
pants,1.890343,201.122949,,,,,,
pants,1.895515,200.623807,,,,,,
pants,1.900688,200.494237,,,,,,
pants,1.905860,200.797953,,,,,,
pants,1.911033,200.465116,,,,,,
pants,1.916205,201.661859,,,,,,
pants,1.921377,202.537288,,,,,,
pants,1.926550,202.512316,,,,,,
pants,1.931722,203.085375,,,,,,
pants,1.936895,203.703179,,,,,,
pants,1.942067,204.062248,,,,,,
pants,1.947239,204.250490,,,,,,
pants,1.952412,204.371294,,,,,,
pants,1.957584,204.803050,,,,,,
pants,1.962757,204.854367,,,,,,
pants,1.967929,204.938959,,,,,,
pants,1.973101,205.448925,,,,,,
pants,1.978274,205.781229,,,,,,
pants,1.983446,206.355896,,,,,,
pants,1.988619,206.801263,,,,,,
pants,1.993791,206.878948,,,,,,
pants,1.998964,206.909637,,,,,,
pants,2.004136,206.472574,,,,,,
pants,2.009308,205.969116,,,,,,
pants,2.014481,205.193044,,,,,,
pants,2.019653,203.072640,,,,,,
pants,2.024826,200.823953,,,,,,
pants,2.029998,200.744968,,,,,,
pants,2.035170,205.644944,,,,,,
pants,2.040343,211.634698,,,,,,
pants,2.045515,216.752727,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,2.340343,215.985859,,,,,,
look,2.345515,213.555770,,,,,,
look,2.350688,199.515663,,,,,,
look,2.355860,204.613095,,,,,,
look,2.361033,203.659055,,,,,,
look,2.366205,207.120994,,,,,,
look,2.371377,208.916184,,,,,,
look,2.376550,213.475241,,,,,,
look,2.381722,214.895911,,,,,,
look,2.386895,209.099207,,,,,,
look,2.392067,204.964374,,,,,,
look,2.397239,202.080004,,,,,,
look,2.402412,200.649673,,,,,,
look,2.407584,200.069845,,,,,,
look,2.412757,199.650706,,,,,,
look,2.417929,199.427851,,,,,,
look,2.423101,198.746929,,,,,,
look,2.428274,197.783124,,,,,,
look,2.433446,195.568848,,,,,,
look,2.438619,191.867280,,,,,,
look,2.443791,184.808370,,,,,,
look,2.448964,193.016108,,,,,,
look,2.454136,202.631330,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,2.661033,235.126391,,,,,,
great,2.666205,228.110515,,,,,,
great,2.671377,210.246122,,,,,,
great,2.676550,198.149752,,,,,,
great,2.681722,190.361413,,,,,,
great,2.686895,186.818749,,,,,,
great,2.692067,186.088072,,,,,,
great,2.697239,186.641664,,,,,,
great,2.702412,186.227412,,,,,,
great,2.707584,185.791330,,,,,,
great,2.712757,185.082667,,,,,,
great,2.717929,184.584985,,,,,,
great,2.723101,184.399061,,,,,,
great,2.728274,183.672430,,,,,,
great,2.733446,183.436221,,,,,,
great,2.738619,183.463265,,,,,,
great,2.743791,183.502508,,,,,,
great,2.748964,184.060206,,,,,,
great,2.754136,183.756051,,,,,,
great,2.759308,183.030229,,,,,,
great,2.764481,184.441331,,,,,,
great,2.769653,185.611225,,,,,,
great,2.774826,186.595848,,,,,,
great,2.779998,185.520549,,,,,,
great,2.785170,186.255394,,,,,,
great,2.790343,185.192168,,,,,,
great,2.795515,185.286911,,,,,,
great,2.800688,186.389838,,,,,,
great,2.805860,187.997532,,,,,,
great,2.811033,188.781384,,,,,,
great,2.816205,189.039506,,,,,,
great,2.821377,189.732037,,,,,,
great,2.826550,189.748321,,,,,,
great,2.831722,190.402379,,,,,,
great,2.836895,190.073110,,,,,,
great,2.842067,189.655767,,,,,,
great,2.847239,189.100935,,,,,,
great,2.852412,188.233590,,,,,,
great,2.857584,187.013357,,,,,,
great,2.862757,186.553516,,,,,,
great,2.867929,185.723491,,,,,,
great,2.873101,184.743583,,,,,,
great,2.878274,183.633764,,,,,,
great,2.883446,181.949442,,,,,,
great,2.888619,181.601420,,,,,,
great,2.893791,182.897297,,,,,,
great,2.898964,175.534551,,,,,,
great,2.904136,177.105313,,,,,,
great,2.909308,176.517176,,,,,,
great,2.914481,173.829624,,,,,,
great,2.919653,173.257513,,,,,,
great,2.924826,173.238952,,,,,,
great,2.929998,172.107971,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
